长臂复合弓,弓,50 ★,1,,染血弓背,1,云杉木材,1
冠军骑枪,长枪,50 ★,1,,染血骑枪尖,1,云杉木材,1
民兵砂轮机,雕金工具（副工具）,50 ★,1,,玄钢块,1,星性岩,1,云杉木材,1
民兵纺车,裁衣工具（副工具）,50 ★,1,,云杉木材,2,钴铁铆钉,2
云杉木材,木材,50 ★,1,,云杉原木,3
冬贝利书柜,家具,50 ★,1,,云杉木材,5,紫檀木材,5,绿金锭,2,纤维布,1,碧企鹅绵毛,1
冬贝利屏风,家具,50 ★,1,,云杉木材,3,紫檀木材,6,绿金锭,5
冬贝利头屏风,家具,50 ★,1,,云杉木材,6,紫檀木材,4,绿金锭,4
陆行鸟立柱,家具,50 ★,1,,云杉木材,2,紫檀木材,3,玄钢块,2,陆行鸟之羽,6,匠心半魔晶石壹型,2
混合制海滨别墅房顶,房顶,50 ★,1,,紫檀木材,10,橡木木材,10,钴铁连接板,10,钴铁钉,10,清漆,10
石制海滨别墅房顶,房顶,50 ★,1,,红木木材,15,瓦片,15,钴铁连接板,10,钴铁钉,10,纤维衬料,10
木制绿洲别墅房顶,房顶,50 ★,1,,紫檀木材,15,绿金锭,5,钴铁连接板,10,钴铁钉,10,清漆,10
木制海滨别墅外墙,外墙,50 ★,1,,云杉木材,10,切石,5,钴铁连接板,10,钴铁钉,10,清漆,10
木制林间别墅外墙,外墙,50 ★,1,,红木木材,15,云杉木材,5,钴铁连接板,10,钴铁钉,10,纤维衬料,10
混合制林间别墅外墙,外墙,50 ★,1,,紫檀木材,10,切石,10,花岗岩,15,灰泥,45
木制绿洲别墅外墙,外墙,50 ★,1,,紫檀木材,10,切石,10,钴铁连接板,10,钴铁钉,10,纤维衬料,10
海滨开架书柜,桌台,50 ★,1,,紫檀木材,7,玄钢块,4,玄钢铆钉,3
林间开架书柜,桌台,50 ★,1,,云杉木材,7,钴铁锭,4,翡翠硬玉,3
绿洲开架书柜,桌台,50 ★,1,,云杉木材,7,紫檀木材,4,清漆,3
被炉,桌台,50 ★,1,,云杉木材,4,紫檀木材,2,丝绵,2,棉布,2,爆弹仔,1
商店置物柜,桌台,50 ★,1,,云杉木材,6,玄钢板,2,清漆,2,白钢折叶,2,零散的藏书,1
萨伦伽光弓,弓,50 ★★,2,,萨伦伽光弓弓背,1,玄钢块,1,云杉木材,3
云杉圆盾,盾,50 ★★,2,,硬化云杉木材,1,玄钢铆钉,2,玄钢块,1
云杉木鞋,脚部防具,50 ★★,2,,帝国制橡胶材,1,硬化云杉木材,1,纤维布,1,盗龙革,1
硬化云杉木材,木材,50 ★★,2,,云杉木材,2,树汁块,9
云杉合板,木材,50 ★★,2,,云杉木材,1,鬼胶,2
萨伦伽光弓弓背,部件,50 ★★,2,,硬化云杉木材,1,玄钢块,2
开放式火炉,家具,50 ★★,2,,竹材,6,云杉木材,4,玄钢锭,2,榴弹怪的灰,3,木柴,1
东方浴缸,家具,50 ★★,2,,硬化云杉木材,4,云杉木材,3,紫檀木材,3,花岗岩,3,木柴,1
奇妙扫帚,杂货,50 ★★,2,,扫帚草,1,竹材,5
魔导机械修理材料,杂货,50 ★★,2,,暗物质晶簇,1,6级暗物质,5
绿砂内墙,内墙,50 ★★,2,,竹材,3,麦秆,3,黏土,5,细沙,5
庄园地板,地板,50 ★★,2,,庄园清漆,2,云杉木材,4,呢绒,4,羊毛线,3
直线踏脚木,庭具,50 ★★,2,,硅化木,2,清漆,10
弧形踏脚木,庭具,50 ★★,2,,硅化木,3,清漆,10
沙滩椅,庭具,50 ★★,2,,硬化云杉木材,3,耐水棉布,5,亚麻线,3,清漆,5
庄园案板,桌台,50 ★★,2,,庄园清漆,2,硬化云杉木材,3,切石,2,烧结砖,2,灰泥,2
圆形舞台,桌台,50 ★★,2,,硬化云杉木材,4,玄钢锭,2,清漆,2
毛线篮,桌上,50 ★★,2,,竹材,1,羊毛线,6
提篮,桌上,50 ★★,2,,竹材,3,棉布帆布,2
狱火神弓,弓,50 ★★★,3,,火神半魔晶石壹型,3,武备半魔晶石叁型,10,伊弗利特魔角,1,古神木材,3,盗龙筋腱,1
旋风神刺,弓,50 ★★★,3,,风神半魔晶石壹型,3,武备半魔晶石叁型,10,迦楼罗魔羽,1,古神木材,3,绿金锭,1
贤王莫古弓,弓,50 ★★★,3,,贤王半魔晶石壹型,3,武备半魔晶石叁型,10,莫古尔·莫古的魔须,1,古神木材,3,绿金锭,1
旋风神喙,长枪,50 ★★★,3,,风神半魔晶石壹型,3,武备半魔晶石叁型,10,迦楼罗魔羽,1,古神木材,3,钴铁锭,1
贤王莫古长杖,双手咒杖,50 ★★★,3,,贤王半魔晶石壹型,3,武备半魔晶石叁型,10,莫古尔·莫古的魔须,1,古神木材,3,纤维布,1
狱火神杖,双手幻杖,50 ★★★,3,,火神半魔晶石壹型,3,武备半魔晶石叁型,10,伊弗利特魔角,1,古神木材,3,植物成长剂4型,1
工匠砂轮机,雕金工具（副工具）,50 ★★★,3,,古神木材,1,玫瑰金锭,1,星性岩,1,速干密封剂,6
工匠纺车,裁衣工具（副工具）,50 ★★★,3,,古神木材,1,硬化云杉木材,1,钴铁铆钉,1,速干密封剂,6
古神木材,木材,50 ★★★,3,,硅化木,1,绯红树汁,1
强化云杉合板,木材,50 ★★★,3,,云杉合板,1,匠心半魔晶石叁型,2
高质的木柴,木材,50 ★★★,3,,古枪杆,1,丝柏原木,2,榴弹怪的灰,1
硅化木宝珠,木材,50 ★★★,3,,大漆,3,硅化木,1,绯红树汁,1
木匠工作台,家具,50 ★★★,3,,釉质坚果,1,古神木材,1,紫檀木材,4,钴铁锭,4,钴铁钉,2
金匠工作台,家具,50 ★★★,3,,釉质坚果,1,古神木材,1,云杉木材,4,玄钢块,4,绿金锭,2
革匠工作台,家具,50 ★★★,3,,釉质坚果,1,古神木材,1,紫檀木材,4,玄钢块,4,骏鹰的粗皮,2
衣匠织布机,家具,50 ★★★,3,,釉质坚果,1,古神木材,1,红木木材,4,云杉木材,2,钴铁锭,2,呢绒,2
宝石兽座椅,家具,50 ★★★,3,,红宝石,1,云杉木材,3,红木木材,3,野猪革,6
宝石兽衣柜,家具,50 ★★★,3,,红宝石,2,云杉木材,4,红木木材,4,盗龙革,4
庄园大键琴,家具,50 ★★★,3,,庄园清漆,2,釉质坚果,1,云杉木材,4,红木木材,4,钴铁锭,4
庄园定音鼓,家具,50 ★★★,3,,庄园清漆,2,釉质坚果,1,云杉木材,4,盗龙革,4,钴铁铆钉,4
庄园大提琴,家具,50 ★★★,3,,庄园清漆,2,釉质坚果,1,云杉木材,4,钴铁锭,4,露线,4
庄园竖琴,家具,50 ★★★,3,,庄园清漆,2,釉质坚果,1,云杉木材,4,红木木材,4,露线,4
大型落地钟,家具,50 ★★★,3,,古神木材,2,红木木材,2,黄金锭,2,钴铁锭,2,匠心半魔晶石贰型,2
林间隔板门,家具,50 ★★★,3,,古神木材,3,紫檀木材,4,白银锭,1,白钢折叶,1
绿洲隔板门,家具,50 ★★★,3,,古神木材,3,胡桃木材,4,绿金锭,1,白钢折叶,1
宝石兽庭院桌,庭具,50 ★★★,3,,红宝石,1,云杉木材,5,红木木材,5,玄钢块,4
高山木人,庭具,50 ★★★,3,,古神木材,3,钨钢锭,2,釉质坚果,2,匠心半魔晶石叁型,3
林间矮灯,庭具,50 ★★★,3,,古神木材,3,兽脂蜡烛,4,玄钢锭,3,玄钢铆钉,3
东方木人,庭具,50 ★★★,3,,古神木材,2,钨钢锭,2,硅化木,1,釉质坚果,2,匠心半魔晶石叁型,3
东方廊椅,庭具,50 ★★★,3,,古神木材,7,瓦片,15,花岗岩,2,清漆,4,白妙草,5,匠心半魔晶石贰型,3
宝石兽写字桌,桌台,50 ★★★,3,,红宝石,1,云杉木材,4,红木木材,4,呢绒,6
对龙城塞作战桌,桌台,50 ★★★,3,,对龙城塞的木材,5,红木木材,3,匠心半魔晶石叁型,2,艾欧泽亚全景图,1
博古架,桌台,50 ★★★,3,,古神木材,5,钨钢锭,1,清漆,3,匠心半魔晶石贰型,3
梯子,桌台,50 ★★★,3,,古神木材,3,玄钢块,2,白钢折叶,1,清漆,2
巨龙棋子,桌上,50 ★★★,3,,对龙城塞的木材,3,清漆,5,匠心半魔晶石叁型,1
双足飞龙棋子,桌上,50 ★★★,3,,对龙城塞的木材,3,清漆,5,匠心半魔晶石叁型,1
城塞棋子,桌上,50 ★★★,3,,对龙城塞的木材,3,清漆,5,匠心半魔晶石叁型,1
神殿骑士棋子,桌上,50 ★★★,3,,对龙城塞的木材,3,清漆,5,匠心半魔晶石叁型,1
龙骑士棋子,桌上,50 ★★★,3,,对龙城塞的木材,3,清漆,5,匠心半魔晶石叁型,1
林间小型储物柜,桌上,50 ★★★,3,,古神木材,4,钴铁锭,2,钴铁铆钉,1,清漆,2
东方祭坛,壁挂,50 ★★★,3,,古神木材,4,白银锭,1,青铜锭,1,玻璃板,1,诺菲卡槲寄生,1,匠心半魔晶石贰型,2
魔法扫帚,宠物,50 ★★★,3,,釉质坚果,1,扫帚草,1,紫檀枝,1,古神木材,1
2级空白管弦乐琴乐谱,管弦乐琴乐谱,50 ★★★,3,,云杉原木,1,丝柏原木,1,灰汁,1
黑檀长弓,弓,50 ★★★★,4,,亚拉戈魔触媒,3,武备半魔晶石叁型,3,黑檀木材,3,乌兹锭,2,红宝石,1
惊雷风行,弓,50 ★★★★,4,,钨钢锭,1,古神木材,3,黄金锭,1,拉姆魔珠,1,武备半魔晶石叁型,5
乌兹长枪,长枪,50 ★★★★,4,,亚拉戈魔触媒,3,武备半魔晶石叁型,3,黑檀木材,3,乌兹锭,2,黄金锭,1
惊雷霹雳,长枪,50 ★★★★,4,,钨钢锭,2,古神木材,2,黄金锭,1,拉姆魔珠,1,武备半魔晶石叁型,5
黑檀长杖,双手咒杖,50 ★★★★,4,,亚拉戈魔触媒,3,武备半魔晶石叁型,3,黑檀木材,3,白金锭,2,堇青石,1
黑檀牧杖,双手幻杖,50 ★★★★,4,,亚拉戈魔触媒,3,武备半魔晶石叁型,3,黑檀木材,3,白金锭,2,钻石,1
惊雷轰鸣,双手幻杖,50 ★★★★,4,,古神木材,3,黄金锭,2,拉姆魔珠,1,武备半魔晶石叁型,5
